,Resultado,X,Y
0,175.0,1004910.0398000004,1016662.7409000006
1,46.86,1004926.7313999999,1015189.7254000008
2,81.8,1003681.9971000003,1013515.1006000005
3,177.08499999999998,998281.9560000002,1012096.9099000003
4,118.565,1004177.2792999996,1016735.5144999996
5,61.8,1004812.0895999996,1015295.6708000004
6,45.375,995263.4775,1011702.7559999991
7,176.15,995890.8137999997,1011978.3747000005
8,15.4,1004615.9671,1014568.2949000001
9,129.94,1000427.9702000003,1011519.8629000001
10,140.0,1000317.9785000002,1012333.9291999992
11,198.0,1002114.2437000005,1010713.7141999993
12,25.75,1005607.0943,1015431.6527999993
13,107.13,1002231.5061999997,1012203.3204999994
14,98.83,1001584.7756000003,1014205.8850999996
15,40.7,998787.9271999998,1017021.2850000001
16,82.4,1003257.6978000002,1015239.1162
17,237.01,1004348.0221999995,1018334.8701000009
18,159.0,1001277.8221000005,1011065.5460999999
19,130.15,1000800.1513,1005285.5094000008
20,102.66,994987.1123000002,1021852.7449999992
21,134.0,1001935.2397999996,1024232.8538000006
22,36.05,997899.1978000002,1024089.4925999995
23,25.75,999269.8602,1008354.4048999995
24,407.0,1004352.9068999998,1010863.0058999993
25,102.6,1001513.7383000003,1011148.0014999993
26,77.2,1009723.5204999996,1009520.5583999995
27,195.7,1012387.6896000002,1024565.4102999996
28,39.1,1012356.2275999999,1024490.9241000004
29,103.015,1004210.2395000001,1013258.5288999993
