ID_house,RC,Basement_dummy,Age_1980,Lito_Fans,Lito_Shales,Precipitation,Temperature,Urban_dummy,Fault_proximity,Vertical_velocity
1,175,0,0,0,0,99.51187134,14.3212471,1,5534.072234,2.032655478
10,46.86,1,0,0,0,103.4172516,14.30334282,1,4887.241543,1.896419048
16,81.8,1,0,0,0,105.4847794,14.29157066,1,5678.445117,1.948309064
17,177.085,0,1,0,0,118.9376755,14.11265278,1,10815.00997,2.074107885
19,118.565,0,0,0,0,100.1456757,14.31655025,1,6204.616747,1.940533042
22,61.8,0,0,0,0,103.3185654,14.3023119,1,5032.376765,1.939020395
24,45.375,0,0,0,0,111.4679794,14.40970898,1,13435.78127,2.777478456
26,176.15,0,1,0,0,112.9903107,14.34711838,1,12960.80549,2.6740973
28,15.4,0,0,0,0,104.5232925,14.29912281,1,4997.736385,2.025849581
29,129.94,0,1,0,0,120.2321091,14.03740788,1,8627.384258,2.038902283
30,140,0,1,0,0,116.9326096,14.13031864,1,8880.562833,2.120338202
36,198,1,1,0,0,108.6798553,14.25722694,1,6758.584502,2.099211454
37,25.75,0,0,1,0,102.4428558,14.30903912,1,4349.131167,1.888138533
38,107.13,0,0,0,0,108.5956192,14.26468086,1,6964.609725,2.01493454
41,98.83,1,1,0,0,110.1572113,14.23151207,1,7854.774253,2.069221735
43,40.7,0,0,0,0,137.1793518,14.35732365,1,11286.03144,3.163036108
48,82.4,0,1,0,0,105.4247513,14.27415848,1,6488.057194,2.309926987
49,237.01,0,1,0,0,90.75243378,14.38427067,1,6318.240032,2.094389677
50,159,0,0,0,0,115.0197067,14.13149166,1,7664.211273,2.097234011
53,130.15,0,1,0,0,71.53990173,15.14588165,1,5997.273477,2.746445656
58,102.66,0,0,0,0,119.1144409,14.40613747,0,9195.844687,3.119258165
60,134,1,0,0,0,94.04892731,14.40282154,0,9624.791476,2.427194834
66,36.05,0,0,0,0,108.5049362,14.39797974,0,8674.266123,3.318798304
69,25.75,0,1,0,0,104.8585663,14.29049778,1,8496.503796,2.662392616
72,407,1,1,0,0,103.791275,14.32305145,1,4803.180864,2.271906137
73,102.6,0,1,0,0,113.0513229,14.17166328,1,7491.004812,2.06923151
74,77.2,0,0,0,1,97.61623383,14.40631485,0,97.92342203,1.997061491
76,195.7,1,0,0,0,72.47541046,13.70231342,0,742.9880994,1.541481853
78,39.1,0,0,1,0,72.49708557,13.70367146,0,559.0922235,1.772804856
79,103.015,0,0,0,0,105.3546295,14.29900837,1,5126.100945,1.968092203
