Cluster,OID_,Fault_proximity,Basement_dummy,Lito_Fans,Lito_Shales,Precipitation,Temperature,Urban_dummy,Vertical_velocity,Age_1980,X,Y
0,229977.9783,5929.5688,0,0.043478261,0.065217391,95.1043799,14.5636924,0.880434783,2.49901225,0.097826087,986886.5155,1002758.149
65,185316,5704.303427,0,0,0,94.63958319,14.60086984,1,2.244413897,0.011494253,985043.1002,1001740.224
66,217064.1057,5995.888748,0,0,0,94.97126995,14.60562936,0.924528302,2.566861079,0.162264151,984910.5036,1002022.066
67,348495.7143,6210.802359,0,0,0,95.00254563,14.61220639,0.571428571,2.684133666,0.160714286,985001.4086,1002242.861
72,547314,7679.976246,0,0,0,96.16465759,14.63205624,0,3.447494745,0,985053.8074,1003711.607
208,254136,5075.289885,0,0,0,93.81967926,14.5870142,1,2.151429653,0,985421.0428,1001123.266
210,230468.5,5808.339624,0,0,0,94.37285614,14.60871649,1,2.209316293,0,985300.0231,1001853.236
211,256985.3012,5925.469696,0,0,0,94.45256959,14.61173313,0.915662651,2.502776138,0.128514056,985295.2425,1001969.362
212,548412.8537,6210.353614,0,0,0,94.77525441,14.61649557,0,2.606366768,0.195121951,985201.0475,1002251.594
213,546898.6,6573.207005,0,0,0,94.99993286,14.62491722,0,2.708468103,0,985266.7362,1002614.221
217,547315,7799.551482,0,0,0,96.0355835,14.64030838,0,3.281908512,0,985387.2174,1003837.455
353,253941.3755,5099.494269,0,0,0,93.51547305,14.58976633,1,2.140920141,0.050218341,985593.1035,1001142.306
354,253845.1818,5256.190837,0,0,0,93.51915628,14.59688907,1,2.098157503,0.022727273,985652.1293,1001296.298
355,230000.075,5769.863343,0,0,0,93.97296181,14.61297744,1,2.236829436,0.0625,985570.9849,1001811.691
356,245431.2285,5926.752235,0,0,0,94.06585228,14.61765357,0.951781971,2.409505679,0.077568134,985580.3249,1001967.617
357,477760.0661,6293.926039,0,0,0,94.27661505,14.62835329,0.239669421,2.770381551,0.099173554,985643.8062,1002331.494
358,402714.5132,6597.803424,0,0,0,94.57816902,14.63381969,0.539473684,2.81173577,0.125,985623.4022,1002635.416
359,279572.5887,6885.360274,0,0,0,94.81012082,14.63939348,0.997311828,2.744180221,0.220430108,985656.4476,1002920.891
360,278603,7033.332885,0,0,0,94.88167572,14.64269733,1,2.817610502,0,985707.7058,1003066.32
365,548828,8754.963498,0,0,0,96.95664978,14.64282703,0,3.457051277,0,985539.5042,1004787.75
366,548829,8837.824223,0,0,0,97.10029602,14.64061546,0,3.302874804,0,985513.1262,1004870.761
498,253399.0304,5125.272897,0,0,0,93.10503855,14.59388838,1,2.089769396,0.05,985860.8687,1001149.587
499,252991.2921,5319.693134,0,0,0,93.24609954,14.60199388,1,2.085101555,0.123809524,985845.7707,1001345.529
500,234352.9167,5652.066861,0,0,0,93.34763654,14.61587103,1,2.13598605,0.666666667,985916.7498,1001670.56
501,469232.75,6010.051654,0,0,0,93.89810441,14.62355843,0.25,2.442265534,0.05,985752.7967,1002042.879
502,343848.2614,6330.588276,0,0,0,93.99095657,14.63457088,0.715909091,2.658000518,0.068181818,985874.7765,1002353.799
503,444269.7131,6577.381336,0,0,0,94.27147581,14.63907347,0.356545961,3.040705009,0.036211699,985840.2957,1002603.136
504,306775.9747,6882.615768,0,0,0,94.57409218,14.64436809,0.89544688,2.906512695,0.134907251,985844.0415,1002907.493
